,user_id,age,steps,heart_rate_avg,sleep_hours,calories_burned,exercise_minutes,stress_level,weight_kg,bmi
user_id,1.0,-0.06901589296412797,0.0009607523298488215,0.020111466717713442,0.0021826030028923547,-6.866107848859723e-05,-0.00032755194760129906,0.0021590219475263505,0.00172328012807288,0.00037744758884395265
age,-0.06901589296412797,1.0,0.0022680190424477836,-0.1550972778951707,-0.003184798060946568,-0.00026981446159259466,0.0027383337352747455,-0.0018585463171232554,-0.0002421413153415326,0.0009856956756697302
steps,0.0009607523298488215,0.0022680190424477836,1.0,0.0008493354665965728,-0.0015765670165724414,0.001298934356438948,0.0007662753755742225,-0.00038408353978935266,0.0028624176187446934,-0.0007555869911536014
heart_rate_avg,0.020111466717713442,-0.1550972778951707,0.0008493354665965728,1.0,-0.0001232437274829773,0.002465502098019284,0.0002518611734595251,0.0023307577828335455,-0.002427794967003392,0.000404111285191629
sleep_hours,0.0021826030028923547,-0.003184798060946568,-0.0015765670165724414,-0.0001232437274829773,1.0,-0.002714350280277742,0.00039696369694132877,-0.0007324217734645829,-0.0013827474062561794,-0.0006115203076396923
calories_burned,-6.866107848859723e-05,-0.00026981446159259466,0.001298934356438948,0.002465502098019284,-0.002714350280277742,1.0,0.00030336319038155456,-0.0023333708566981746,0.0003567547960355573,-0.001674192928964557
exercise_minutes,-0.00032755194760129906,0.0027383337352747455,0.0007662753755742225,0.0002518611734595251,0.00039696369694132877,0.00030336319038155456,1.0,0.0002982579695630929,0.00160378955987446,-0.0021131498650323747
stress_level,0.0021590219475263505,-0.0018585463171232554,-0.00038408353978935266,0.0023307577828335455,-0.0007324217734645829,-0.0023333708566981746,0.0002982579695630929,1.0,0.0006920363195780483,-0.0009861114745320998
weight_kg,0.00172328012807288,-0.0002421413153415326,0.0028624176187446934,-0.002427794967003392,-0.0013827474062561794,0.0003567547960355573,0.00160378955987446,0.0006920363195780483,1.0,0.0005532526162800368
bmi,0.00037744758884395265,0.0009856956756697302,-0.0007555869911536014,0.000404111285191629,-0.0006115203076396923,-0.001674192928964557,-0.0021131498650323747,-0.0009861114745320998,0.0005532526162800368,1.0
